Subject,Email_Content,Label
Delivery update for your order,"Thank you for your order. If you have any questions, feel free to contact us.",0
Invoice attached for your review,Our system will undergo maintenance on [date and time]. Services might be temporarily unavailable.,0
Claim your refund now,"We received a request to reset your password. If you made this request, click here: [phishing-link.com].",1
Important security alert,Your account will be locked within 24 hours. Click the secure link below to verify your identity: [phishing-link.com].,1
Important security alert,"Dear Customer, We have noticed suspicious activity on your account. Please log in to verify your information: [phishing-link.com].",1
Invoice attached for your review,This is a reminder for the meeting scheduled for tomorrow at 10 AM. Please see the agenda here: [legitimate-link.com].,0
Verify your login information,"You have been selected as the lucky winner of $1,000,000! Click here to claim your prize: [phishing-link.com].",1
Appointment confirmation,Your appointment has been confirmed for [date and time]. Please let us know if you have any questions.,0
Your account has been suspended,We need you to verify your account details for continued service: [phishing-link.com].,1
System maintenance notification,"Please find your invoice attached for the last month's transaction. If you have questions, contact us at billing@example.com.",0
Weekly newsletter update,Here is this week's newsletter with the latest updates and offers. Check it out: [legitimate-link.com].,0
Unusual activity detected,Exclusive offer! Click here to grab this deal before it expires: [phishing-link.com].,1
Invoice attached for your review,Your appointment has been confirmed for [date and time]. Please let us know if you have any questions.,0
Your account has been suspended,"Dear Customer, We have noticed suspicious activity on your account. Please log in to verify your information: [phishing-link.com].",1
System maintenance notification,"Please find your invoice attached for the last month's transaction. If you have questions, contact us at billing@example.com.",0
Appointment confirmation,Your subscription is about to expire. Renew now to continue enjoying our services: [legitimate-link.com].,0
Feedback request from our team,We would love to hear your feedback on our recent service. Please complete this short survey: [legitimate-link.com].,0
Invoice attached for your review,Your order has been shipped. Track your package here: [legitimate-link.com].,0
Important security alert,Your account will be locked within 24 hours. Click the secure link below to verify your identity: [phishing-link.com].,1
Your recent purchase receipt,Your order has been shipped. Track your package here: [legitimate-link.com].,0
Verify your login information,Your package could not be delivered due to an incorrect address. Confirm your details: [phishing-link.com].,1
Invoice attached for your review,"Please find your invoice attached for the last month's transaction. If you have questions, contact us at billing@example.com.",0
Your recent purchase receipt,"Thank you for shopping with us! Attached is the receipt for your recent purchase. If you have questions, reply to this email.",0
Important security alert,We detected an unauthorized login attempt to your account. Update your credentials here: [phishing-link.com].,1
Claim your refund now,Your package could not be delivered due to an incorrect address. Confirm your details: [phishing-link.com].,1
Claim your refund now,We detected an unauthorized login attempt to your account. Update your credentials here: [phishing-link.com].,1
Your recent purchase receipt,Your appointment has been confirmed for [date and time]. Please let us know if you have any questions.,0
Thank you for your order,This is a reminder for the meeting scheduled for tomorrow at 10 AM. Please see the agenda here: [legitimate-link.com].,0
Subscription renewal notice,"Thank you for your order. If you have any questions, feel free to contact us.",0
Appointment confirmation,We would love to hear your feedback on our recent service. Please complete this short survey: [legitimate-link.com].,0
System maintenance notification,Our system will undergo maintenance on [date and time]. Services might be temporarily unavailable.,0
Unusual activity detected,"Dear Customer, We have noticed suspicious activity on your account. Please log in to verify your information: [phishing-link.com].",1
Appointment confirmation,This is a reminder for the meeting scheduled for tomorrow at 10 AM. Please see the agenda here: [legitimate-link.com].,0
System maintenance notification,Our system will undergo maintenance on [date and time]. Services might be temporarily unavailable.,0
Invoice attached for your review,"Thank you for your order. If you have any questions, feel free to contact us.",0
Your account has been suspended,Your package could not be delivered due to an incorrect address. Confirm your details: [phishing-link.com].,1
Thank you for your order,This is a reminder for the meeting scheduled for tomorrow at 10 AM. Please see the agenda here: [legitimate-link.com].,0
Your account has been suspended,"Dear Customer, We have noticed suspicious activity on your account. Please log in to verify your information: [phishing-link.com].",1
Your recent purchase receipt,Our system will undergo maintenance on [date and time]. Services might be temporarily unavailable.,0
Account verification needed,Your account will be locked within 24 hours. Click the secure link below to verify your identity: [phishing-link.com].,1
Verify your login information,"Dear Customer, We have noticed suspicious activity on your account. Please log in to verify your information: [phishing-link.com].",1
Thank you for your order,This is a reminder for the meeting scheduled for tomorrow at 10 AM. Please see the agenda here: [legitimate-link.com].,0
Appointment confirmation,"Thank you for shopping with us! Attached is the receipt for your recent purchase. If you have questions, reply to this email.",0
Weekly newsletter update,We would love to hear your feedback on our recent service. Please complete this short survey: [legitimate-link.com].,0
Appointment confirmation,Your appointment has been confirmed for [date and time]. Please let us know if you have any questions.,0
Reset your password,We need you to verify your account details for continued service: [phishing-link.com].,1
Claim your refund now,Your package could not be delivered due to an incorrect address. Confirm your details: [phishing-link.com].,1
Account verification needed,"Dear Customer, We have noticed suspicious activity on your account. Please log in to verify your information: [phishing-link.com].",1
Limited time offer for you,You are eligible for a tax refund. Claim your refund now: [phishing-link.com].,1
Limited time offer for you,Exclusive offer! Click here to grab this deal before it expires: [phishing-link.com].,1
Weekly newsletter update,Your subscription is about to expire. Renew now to continue enjoying our services: [legitimate-link.com].,0
Appointment confirmation,We would love to hear your feedback on our recent service. Please complete this short survey: [legitimate-link.com].,0
Reset your password,"You have been selected as the lucky winner of $1,000,000! Click here to claim your prize: [phishing-link.com].",1
Reset your password,"We received a request to reset your password. If you made this request, click here: [phishing-link.com].",1
Invoice attached for your review,We would love to hear your feedback on our recent service. Please complete this short survey: [legitimate-link.com].,0
Weekly newsletter update,We would love to hear your feedback on our recent service. Please complete this short survey: [legitimate-link.com].,0
Invoice attached for your review,We would love to hear your feedback on our recent service. Please complete this short survey: [legitimate-link.com].,0
Delivery update for your order,"Thank you for your order. If you have any questions, feel free to contact us.",0
Verify your login information,"Dear Customer, We have noticed suspicious activity on your account. Please log in to verify your information: [phishing-link.com].",1
Important security alert,"Dear Customer, We have noticed suspicious activity on your account. Please log in to verify your information: [phishing-link.com].",1
Important security alert,We detected an unauthorized login attempt to your account. Update your credentials here: [phishing-link.com].,1
Feedback request from our team,Your order has been shipped. Track your package here: [legitimate-link.com].,0
Your package is delayed,We need you to verify your account details for continued service: [phishing-link.com].,1
Your account has been suspended,Your package could not be delivered due to an incorrect address. Confirm your details: [phishing-link.com].,1
Subscription renewal notice,"Thank you for your order. If you have any questions, feel free to contact us.",0
Appointment confirmation,We would love to hear your feedback on our recent service. Please complete this short survey: [legitimate-link.com].,0
Account verification needed,"Dear Customer, We have noticed suspicious activity on your account. Please log in to verify your information: [phishing-link.com].",1
Meeting reminder for tomorrow,This is a reminder for the meeting scheduled for tomorrow at 10 AM. Please see the agenda here: [legitimate-link.com].,0
Your recent purchase receipt,Your order has been shipped. Track your package here: [legitimate-link.com].,0
Unusual activity detected,Exclusive offer! Click here to grab this deal before it expires: [phishing-link.com].,1
Verify your login information,We detected an unauthorized login attempt to your account. Update your credentials here: [phishing-link.com].,1
Delivery update for your order,We would love to hear your feedback on our recent service. Please complete this short survey: [legitimate-link.com].,0
Your package is delayed,Your package could not be delivered due to an incorrect address. Confirm your details: [phishing-link.com].,1
Verify your login information,We detected an unauthorized login attempt to your account. Update your credentials here: [phishing-link.com].,1
Account verification needed,Your account will be locked within 24 hours. Click the secure link below to verify your identity: [phishing-link.com].,1
Your recent purchase receipt,Our system will undergo maintenance on [date and time]. Services might be temporarily unavailable.,0
Account verification needed,Unusual activity detected in your account. Review your recent transactions: [phishing-link.com].,1
Invoice attached for your review,This is a reminder for the meeting scheduled for tomorrow at 10 AM. Please see the agenda here: [legitimate-link.com].,0
Unusual activity detected,"Dear Customer, We have noticed suspicious activity on your account. Please log in to verify your information: [phishing-link.com].",1
Delivery update for your order,"Thank you for shopping with us! Attached is the receipt for your recent purchase. If you have questions, reply to this email.",0
Claim your refund now,We need you to verify your account details for continued service: [phishing-link.com].,1
Important security alert,Your account will be locked within 24 hours. Click the secure link below to verify your identity: [phishing-link.com].,1
Limited time offer for you,We need you to verify your account details for continued service: [phishing-link.com].,1
Limited time offer for you,We need you to verify your account details for continued service: [phishing-link.com].,1
Unusual activity detected,"Dear Customer, We have noticed suspicious activity on your account. Please log in to verify your information: [phishing-link.com].",1
Verify your login information,We detected an unauthorized login attempt to your account. Update your credentials here: [phishing-link.com].,1
Limited time offer for you,Your account will be locked within 24 hours. Click the secure link below to verify your identity: [phishing-link.com].,1
Your account has been suspended,Your package could not be delivered due to an incorrect address. Confirm your details: [phishing-link.com].,1
Your account has been suspended,"Dear Customer, We have noticed suspicious activity on your account. Please log in to verify your information: [phishing-link.com].",1
Invoice attached for your review,We would love to hear your feedback on our recent service. Please complete this short survey: [legitimate-link.com].,0
Claim your refund now,"You have been selected as the lucky winner of $1,000,000! Click here to claim your prize: [phishing-link.com].",1
Feedback request from our team,We would love to hear your feedback on our recent service. Please complete this short survey: [legitimate-link.com].,0
Your recent purchase receipt,We would love to hear your feedback on our recent service. Please complete this short survey: [legitimate-link.com].,0
Invoice attached for your review,"Thank you for your order. If you have any questions, feel free to contact us.",0
Meeting reminder for tomorrow,Your subscription is about to expire. Renew now to continue enjoying our services: [legitimate-link.com].,0
Feedback request from our team,"Thank you for your order. If you have any questions, feel free to contact us.",0
Verify your login information,Unusual activity detected in your account. Review your recent transactions: [phishing-link.com].,1
Appointment confirmation,Your appointment has been confirmed for [date and time]. Please let us know if you have any questions.,0
Your account has been suspended,"Dear Customer, We have noticed suspicious activity on your account. Please log in to verify your information: [phishing-link.com].",1
Your account has been suspended,Your package could not be delivered due to an incorrect address. Confirm your details: [phishing-link.com].,1
Invoice attached for your review,"Thank you for shopping with us! Attached is the receipt for your recent purchase. If you have questions, reply to this email.",0
Feedback request from our team,Here is this week's newsletter with the latest updates and offers. Check it out: [legitimate-link.com].,0
Your package is delayed,Your package could not be delivered due to an incorrect address. Confirm your details: [phishing-link.com].,1
Invoice attached for your review,This is a reminder for the meeting scheduled for tomorrow at 10 AM. Please see the agenda here: [legitimate-link.com].,0
Delivery update for your order,"Thank you for your order. If you have any questions, feel free to contact us.",0
Invoice attached for your review,"Thank you for your order. If you have any questions, feel free to contact us.",0
Account verification needed,Your package could not be delivered due to an incorrect address. Confirm your details: [phishing-link.com].,1
Subscription renewal notice,Your subscription is about to expire. Renew now to continue enjoying our services: [legitimate-link.com].,0
Feedback request from our team,We would love to hear your feedback on our recent service. Please complete this short survey: [legitimate-link.com].,0
Weekly newsletter update,Here is this week's newsletter with the latest updates and offers. Check it out: [legitimate-link.com].,0
Feedback request from our team,We would love to hear your feedback on our recent service. Please complete this short survey: [legitimate-link.com].,0
Account verification needed,Your package could not be delivered due to an incorrect address. Confirm your details: [phishing-link.com].,1
Account verification needed,Your package could not be delivered due to an incorrect address. Confirm your details: [phishing-link.com].,1
Subscription renewal notice,"Thank you for shopping with us! Attached is the receipt for your recent purchase. If you have questions, reply to this email.",0
Weekly newsletter update,Your subscription is about to expire. Renew now to continue enjoying our services: [legitimate-link.com].,0
Your package is delayed,We need you to verify your account details for continued service: [phishing-link.com].,1
Claim your refund now,Your account will be locked within 24 hours. Click the secure link below to verify your identity: [phishing-link.com].,1
Reset your password,We need you to verify your account details for continued service: [phishing-link.com].,1
Your recent purchase receipt,"Thank you for shopping with us! Attached is the receipt for your recent purchase. If you have questions, reply to this email.",0
Thank you for your order,"Thank you for your order. If you have any questions, feel free to contact us.",0
Account verification needed,We need you to verify your account details for continued service: [phishing-link.com].,1
Reset your password,Unusual activity detected in your account. Review your recent transactions: [phishing-link.com].,1
Delivery update for your order,"Thank you for your order. If you have any questions, feel free to contact us.",0
Appointment confirmation,Your subscription is about to expire. Renew now to continue enjoying our services: [legitimate-link.com].,0
Reset your password,"We received a request to reset your password. If you made this request, click here: [phishing-link.com].",1
Important security alert,Your account will be locked within 24 hours. Click the secure link below to verify your identity: [phishing-link.com].,1
Delivery update for your order,"Thank you for your order. If you have any questions, feel free to contact us.",0
Feedback request from our team,"Thank you for shopping with us! Attached is the receipt for your recent purchase. If you have questions, reply to this email.",0
Thank you for your order,"Thank you for shopping with us! Attached is the receipt for your recent purchase. If you have questions, reply to this email.",0
Unusual activity detected,We need you to verify your account details for continued service: [phishing-link.com].,1
Your account has been suspended,Unusual activity detected in your account. Review your recent transactions: [phishing-link.com].,1
Feedback request from our team,Your order has been shipped. Track your package here: [legitimate-link.com].,0
Reset your password,We need you to verify your account details for continued service: [phishing-link.com].,1
Account verification needed,Unusual activity detected in your account. Review your recent transactions: [phishing-link.com].,1
Limited time offer for you,You are eligible for a tax refund. Claim your refund now: [phishing-link.com].,1
Subscription renewal notice,Your subscription is about to expire. Renew now to continue enjoying our services: [legitimate-link.com].,0
Your recent purchase receipt,Your appointment has been confirmed for [date and time]. Please let us know if you have any questions.,0
Meeting reminder for tomorrow,Your appointment has been confirmed for [date and time]. Please let us know if you have any questions.,0
Your account has been suspended,Your package could not be delivered due to an incorrect address. Confirm your details: [phishing-link.com].,1
Invoice attached for your review,We would love to hear your feedback on our recent service. Please complete this short survey: [legitimate-link.com].,0
Verify your login information,Your account will be locked within 24 hours. Click the secure link below to verify your identity: [phishing-link.com].,1
Weekly newsletter update,We would love to hear your feedback on our recent service. Please complete this short survey: [legitimate-link.com].,0
Your account has been suspended,Exclusive offer! Click here to grab this deal before it expires: [phishing-link.com].,1
Appointment confirmation,Your subscription is about to expire. Renew now to continue enjoying our services: [legitimate-link.com].,0
Claim your refund now,You are eligible for a tax refund. Claim your refund now: [phishing-link.com].,1
Important security alert,We detected an unauthorized login attempt to your account. Update your credentials here: [phishing-link.com].,1
Verify your login information,Your package could not be delivered due to an incorrect address. Confirm your details: [phishing-link.com].,1
Limited time offer for you,"You have been selected as the lucky winner of $1,000,000! Click here to claim your prize: [phishing-link.com].",1
Thank you for your order,We would love to hear your feedback on our recent service. Please complete this short survey: [legitimate-link.com].,0
Claim your refund now,We need you to verify your account details for continued service: [phishing-link.com].,1
Important security alert,We need you to verify your account details for continued service: [phishing-link.com].,1
Your recent purchase receipt,"Thank you for shopping with us! Attached is the receipt for your recent purchase. If you have questions, reply to this email.",0
Delivery update for your order,Your appointment has been confirmed for [date and time]. Please let us know if you have any questions.,0
Invoice attached for your review,This is a reminder for the meeting scheduled for tomorrow at 10 AM. Please see the agenda here: [legitimate-link.com].,0
Your recent purchase receipt,"Thank you for shopping with us! Attached is the receipt for your recent purchase. If you have questions, reply to this email.",0
Reset your password,Unusual activity detected in your account. Review your recent transactions: [phishing-link.com].,1
Invoice attached for your review,"Thank you for shopping with us! Attached is the receipt for your recent purchase. If you have questions, reply to this email.",0
Your account has been suspended,We detected an unauthorized login attempt to your account. Update your credentials here: [phishing-link.com].,1
Appointment confirmation,Your subscription is about to expire. Renew now to continue enjoying our services: [legitimate-link.com].,0
Your account has been suspended,"You have been selected as the lucky winner of $1,000,000! Click here to claim your prize: [phishing-link.com].",1
Thank you for your order,"Thank you for shopping with us! Attached is the receipt for your recent purchase. If you have questions, reply to this email.",0
Your recent purchase receipt,"Thank you for shopping with us! Attached is the receipt for your recent purchase. If you have questions, reply to this email.",0
Appointment confirmation,This is a reminder for the meeting scheduled for tomorrow at 10 AM. Please see the agenda here: [legitimate-link.com].,0
Your account has been suspended,"You have been selected as the lucky winner of $1,000,000! Click here to claim your prize: [phishing-link.com].",1
Verify your login information,We need you to verify your account details for continued service: [phishing-link.com].,1
Meeting reminder for tomorrow,Your subscription is about to expire. Renew now to continue enjoying our services: [legitimate-link.com].,0
Your account has been suspended,Your account will be locked within 24 hours. Click the secure link below to verify your identity: [phishing-link.com].,1
Claim your refund now,"We received a request to reset your password. If you made this request, click here: [phishing-link.com].",1
Reset your password,We detected an unauthorized login attempt to your account. Update your credentials here: [phishing-link.com].,1
Your recent purchase receipt,Your order has been shipped. Track your package here: [legitimate-link.com].,0
Your recent purchase receipt,We would love to hear your feedback on our recent service. Please complete this short survey: [legitimate-link.com].,0
Thank you for your order,"Thank you for shopping with us! Attached is the receipt for your recent purchase. If you have questions, reply to this email.",0
Your recent purchase receipt,Your order has been shipped. Track your package here: [legitimate-link.com].,0
Account verification needed,Your package could not be delivered due to an incorrect address. Confirm your details: [phishing-link.com].,1
Verify your login information,You are eligible for a tax refund. Claim your refund now: [phishing-link.com].,1
Account verification needed,"Dear Customer, We have noticed suspicious activity on your account. Please log in to verify your information: [phishing-link.com].",1
Your recent purchase receipt,"Thank you for your order. If you have any questions, feel free to contact us.",0
Delivery update for your order,Your appointment has been confirmed for [date and time]. Please let us know if you have any questions.,0
Reset your password,"We received a request to reset your password. If you made this request, click here: [phishing-link.com].",1
Account verification needed,Your account will be locked within 24 hours. Click the secure link below to verify your identity: [phishing-link.com].,1
Verify your login information,Your account will be locked within 24 hours. Click the secure link below to verify your identity: [phishing-link.com].,1
Unusual activity detected,We need you to verify your account details for continued service: [phishing-link.com].,1
Unusual activity detected,Unusual activity detected in your account. Review your recent transactions: [phishing-link.com].,1
Your recent purchase receipt,Your appointment has been confirmed for [date and time]. Please let us know if you have any questions.,0
Account verification needed,We need you to verify your account details for continued service: [phishing-link.com].,1
Verify your login information,We detected an unauthorized login attempt to your account. Update your credentials here: [phishing-link.com].,1
Claim your refund now,You are eligible for a tax refund. Claim your refund now: [phishing-link.com].,1
System maintenance notification,"Please find your invoice attached for the last month's transaction. If you have questions, contact us at billing@example.com.",0
Delivery update for your order,Your appointment has been confirmed for [date and time]. Please let us know if you have any questions.,0
Verify your login information,Your package could not be delivered due to an incorrect address. Confirm your details: [phishing-link.com].,1
Important security alert,We need you to verify your account details for continued service: [phishing-link.com].,1
Verify your login information,You are eligible for a tax refund. Claim your refund now: [phishing-link.com].,1
Verify your login information,"You have been selected as the lucky winner of $1,000,000! Click here to claim your prize: [phishing-link.com].",1
Reset your password,"You have been selected as the lucky winner of $1,000,000! Click here to claim your prize: [phishing-link.com].",1
Reset your password,We need you to verify your account details for continued service: [phishing-link.com].,1
Your account has been suspended,We detected an unauthorized login attempt to your account. Update your credentials here: [phishing-link.com].,1
Your account has been suspended,We need you to verify your account details for continued service: [phishing-link.com].,1
Reset your password,Unusual activity detected in your account. Review your recent transactions: [phishing-link.com].,1
Delivery update for your order,"Thank you for shopping with us! Attached is the receipt for your recent purchase. If you have questions, reply to this email.",0
Delivery update for your order,Our system will undergo maintenance on [date and time]. Services might be temporarily unavailable.,0
Your package is delayed,Your package could not be delivered due to an incorrect address. Confirm your details: [phishing-link.com].,1
Unusual activity detected,Exclusive offer! Click here to grab this deal before it expires: [phishing-link.com].,1
Thank you for your order,"Thank you for your order. If you have any questions, feel free to contact us.",0
System maintenance notification,"Please find your invoice attached for the last month's transaction. If you have questions, contact us at billing@example.com.",0
System maintenance notification,"Please find your invoice attached for the last month's transaction. If you have questions, contact us at billing@example.com.",0
Your account has been suspended,We need you to verify your account details for continued service: [phishing-link.com].,1
Your recent purchase receipt,"Please find your invoice attached for the last month's transaction. If you have questions, contact us at billing@example.com.",0
Verify your login information,"You have been selected as the lucky winner of $1,000,000! Click here to claim your prize: [phishing-link.com].",1
Thank you for your order,"Thank you for shopping with us! Attached is the receipt for your recent purchase. If you have questions, reply to this email.",0
Claim your refund now,"You have been selected as the lucky winner of $1,000,000! Click here to claim your prize: [phishing-link.com].",1
Appointment confirmation,Your subscription is about to expire. Renew now to continue enjoying our services: [legitimate-link.com].,0
Important security alert,"Dear Customer, We have noticed suspicious activity on your account. Please log in to verify your information: [phishing-link.com].",1
Limited time offer for you,"You have been selected as the lucky winner of $1,000,000! Click here to claim your prize: [phishing-link.com].",1
Invoice attached for your review,Here is this week's newsletter with the latest updates and offers. Check it out: [legitimate-link.com].,0
Verify your login information,You are eligible for a tax refund. Claim your refund now: [phishing-link.com].,1
Invoice attached for your review,Your order has been shipped. Track your package here: [legitimate-link.com].,0
Your account has been suspended,Your account will be locked within 24 hours. Click the secure link below to verify your identity: [phishing-link.com].,1
Subscription renewal notice,Your subscription is about to expire. Renew now to continue enjoying our services: [legitimate-link.com].,0
Invoice attached for your review,This is a reminder for the meeting scheduled for tomorrow at 10 AM. Please see the agenda here: [legitimate-link.com].,0
Limited time offer for you,Your package could not be delivered due to an incorrect address. Confirm your details: [phishing-link.com].,1
Your account has been suspended,Exclusive offer! Click here to grab this deal before it expires: [phishing-link.com].,1
Verify your login information,Exclusive offer! Click here to grab this deal before it expires: [phishing-link.com].,1
Claim your refund now,"We received a request to reset your password. If you made this request, click here: [phishing-link.com].",1
System maintenance notification,Our system will undergo maintenance on [date and time]. Services might be temporarily unavailable.,0
Delivery update for your order,"Thank you for shopping with us! Attached is the receipt for your recent purchase. If you have questions, reply to this email.",0
Your account has been suspended,We need you to verify your account details for continued service: [phishing-link.com].,1
Your package is delayed,We need you to verify your account details for continued service: [phishing-link.com].,1
Claim your refund now,"You have been selected as the lucky winner of $1,000,000! Click here to claim your prize: [phishing-link.com].",1
Subscription renewal notice,"Thank you for your order. If you have any questions, feel free to contact us.",0
Verify your login information,Exclusive offer! Click here to grab this deal before it expires: [phishing-link.com].,1
Your recent purchase receipt,Your order has been shipped. Track your package here: [legitimate-link.com].,0
Verify your login information,You are eligible for a tax refund. Claim your refund now: [phishing-link.com].,1
Appointment confirmation,Your subscription is about to expire. Renew now to continue enjoying our services: [legitimate-link.com].,0
Account verification needed,Your package could not be delivered due to an incorrect address. Confirm your details: [phishing-link.com].,1
Verify your login information,"You have been selected as the lucky winner of $1,000,000! Click here to claim your prize: [phishing-link.com].",1
Account verification needed,Your account will be locked within 24 hours. Click the secure link below to verify your identity: [phishing-link.com].,1
Your recent purchase receipt,"Thank you for shopping with us! Attached is the receipt for your recent purchase. If you have questions, reply to this email.",0
Unusual activity detected,We need you to verify your account details for continued service: [phishing-link.com].,1
Invoice attached for your review,Your order has been shipped. Track your package here: [legitimate-link.com].,0
Your recent purchase receipt,"Thank you for shopping with us! Attached is the receipt for your recent purchase. If you have questions, reply to this email.",0
Your account has been suspended,"Dear Customer, We have noticed suspicious activity on your account. Please log in to verify your information: [phishing-link.com].",1
Invoice attached for your review,"Thank you for shopping with us! Attached is the receipt for your recent purchase. If you have questions, reply to this email.",0
Limited time offer for you,We need you to verify your account details for continued service: [phishing-link.com].,1
Verify your login information,"You have been selected as the lucky winner of $1,000,000! Click here to claim your prize: [phishing-link.com].",1
Reset your password,Unusual activity detected in your account. Review your recent transactions: [phishing-link.com].,1
Invoice attached for your review,Our system will undergo maintenance on [date and time]. Services might be temporarily unavailable.,0
Your package is delayed,Your package could not be delivered due to an incorrect address. Confirm your details: [phishing-link.com].,1
Claim your refund now,"You have been selected as the lucky winner of $1,000,000! Click here to claim your prize: [phishing-link.com].",1
Unusual activity detected,We need you to verify your account details for continued service: [phishing-link.com].,1
Your recent purchase receipt,We would love to hear your feedback on our recent service. Please complete this short survey: [legitimate-link.com].,0
Important security alert,We detected an unauthorized login attempt to your account. Update your credentials here: [phishing-link.com].,1
Verify your login information,Exclusive offer! Click here to grab this deal before it expires: [phishing-link.com].,1
Verify your login information,"Dear Customer, We have noticed suspicious activity on your account. Please log in to verify your information: [phishing-link.com].",1
Invoice attached for your review,Your appointment has been confirmed for [date and time]. Please let us know if you have any questions.,0
Important security alert,We detected an unauthorized login attempt to your account. Update your credentials here: [phishing-link.com].,1
Meeting reminder for tomorrow,This is a reminder for the meeting scheduled for tomorrow at 10 AM. Please see the agenda here: [legitimate-link.com].,0
Claim your refund now,Your account will be locked within 24 hours. Click the secure link below to verify your identity: [phishing-link.com].,1
Account verification needed,Your package could not be delivered due to an incorrect address. Confirm your details: [phishing-link.com].,1
Thank you for your order,"Thank you for your order. If you have any questions, feel free to contact us.",0
Appointment confirmation,This is a reminder for the meeting scheduled for tomorrow at 10 AM. Please see the agenda here: [legitimate-link.com].,0
Reset your password,Unusual activity detected in your account. Review your recent transactions: [phishing-link.com].,1
Claim your refund now,Your account will be locked within 24 hours. Click the secure link below to verify your identity: [phishing-link.com].,1
Verify your login information,"You have been selected as the lucky winner of $1,000,000! Click here to claim your prize: [phishing-link.com].",1
Your account has been suspended,Unusual activity detected in your account. Review your recent transactions: [phishing-link.com].,1
Verify your login information,Your account will be locked within 24 hours. Click the secure link below to verify your identity: [phishing-link.com].,1
Important security alert,"Dear Customer, We have noticed suspicious activity on your account. Please log in to verify your information: [phishing-link.com].",1
Important security alert,We detected an unauthorized login attempt to your account. Update your credentials here: [phishing-link.com].,1
Verify your login information,Exclusive offer! Click here to grab this deal before it expires: [phishing-link.com].,1
Your recent purchase receipt,"Thank you for shopping with us! Attached is the receipt for your recent purchase. If you have questions, reply to this email.",0
Limited time offer for you,Exclusive offer! Click here to grab this deal before it expires: [phishing-link.com].,1
Invoice attached for your review,"Thank you for your order. If you have any questions, feel free to contact us.",0
Important security alert,Your account will be locked within 24 hours. Click the secure link below to verify your identity: [phishing-link.com].,1
Appointment confirmation,Your subscription is about to expire. Renew now to continue enjoying our services: [legitimate-link.com].,0
Your account has been suspended,Exclusive offer! Click here to grab this deal before it expires: [phishing-link.com].,1
Verify your login information,We detected an unauthorized login attempt to your account. Update your credentials here: [phishing-link.com].,1
Appointment confirmation,This is a reminder for the meeting scheduled for tomorrow at 10 AM. Please see the agenda here: [legitimate-link.com].,0
Weekly newsletter update,We would love to hear your feedback on our recent service. Please complete this short survey: [legitimate-link.com].,0
Verify your login information,"You have been selected as the lucky winner of $1,000,000! Click here to claim your prize: [phishing-link.com].",1
Appointment confirmation,"Thank you for shopping with us! Attached is the receipt for your recent purchase. If you have questions, reply to this email.",0
System maintenance notification,"Please find your invoice attached for the last month's transaction. If you have questions, contact us at billing@example.com.",0
Account verification needed,"Dear Customer, We have noticed suspicious activity on your account. Please log in to verify your information: [phishing-link.com].",1
Claim your refund now,"We received a request to reset your password. If you made this request, click here: [phishing-link.com].",1
Your recent purchase receipt,Your appointment has been confirmed for [date and time]. Please let us know if you have any questions.,0
Your account has been suspended,Your account will be locked within 24 hours. Click the secure link below to verify your identity: [phishing-link.com].,1
Limited time offer for you,Your account will be locked within 24 hours. Click the secure link below to verify your identity: [phishing-link.com].,1
Important security alert,We need you to verify your account details for continued service: [phishing-link.com].,1
Unusual activity detected,Unusual activity detected in your account. Review your recent transactions: [phishing-link.com].,1
Verify your login information,"You have been selected as the lucky winner of $1,000,000! Click here to claim your prize: [phishing-link.com].",1
Claim your refund now,"We received a request to reset your password. If you made this request, click here: [phishing-link.com].",1
Verify your login information,"You have been selected as the lucky winner of $1,000,000! Click here to claim your prize: [phishing-link.com].",1
Feedback request from our team,Your subscription is about to expire. Renew now to continue enjoying our services: [legitimate-link.com].,0
Your account has been suspended,Unusual activity detected in your account. Review your recent transactions: [phishing-link.com].,1
Thank you for your order,We would love to hear your feedback on our recent service. Please complete this short survey: [legitimate-link.com].,0
Reset your password,We detected an unauthorized login attempt to your account. Update your credentials here: [phishing-link.com].,1
Meeting reminder for tomorrow,Your subscription is about to expire. Renew now to continue enjoying our services: [legitimate-link.com].,0
Unusual activity detected,Exclusive offer! Click here to grab this deal before it expires: [phishing-link.com].,1
Thank you for your order,"Thank you for your order. If you have any questions, feel free to contact us.",0
Claim your refund now,We detected an unauthorized login attempt to your account. Update your credentials here: [phishing-link.com].,1
Limited time offer for you,Your package could not be delivered due to an incorrect address. Confirm your details: [phishing-link.com].,1
Limited time offer for you,Your package could not be delivered due to an incorrect address. Confirm your details: [phishing-link.com].,1
Your account has been suspended,"Dear Customer, We have noticed suspicious activity on your account. Please log in to verify your information: [phishing-link.com].",1
Meeting reminder for tomorrow,Your subscription is about to expire. Renew now to continue enjoying our services: [legitimate-link.com].,0
Your package is delayed,We need you to verify your account details for continued service: [phishing-link.com].,1
Delivery update for your order,Here is this week's newsletter with the latest updates and offers. Check it out: [legitimate-link.com].,0
Limited time offer for you,We need you to verify your account details for continued service: [phishing-link.com].,1
Claim your refund now,Your package could not be delivered due to an incorrect address. Confirm your details: [phishing-link.com].,1
Reset your password,"We received a request to reset your password. If you made this request, click here: [phishing-link.com].",1
Feedback request from our team,We would love to hear your feedback on our recent service. Please complete this short survey: [legitimate-link.com].,0
Limited time offer for you,Exclusive offer! Click here to grab this deal before it expires: [phishing-link.com].,1
